"Event ID","Title","Description","Date","Start Time","End Time","Setup","Teardown","Location","Library","Event Organizer","Presenter","Audiences","Categories","Publishing Status","Internal Tags","Notes","Registration Enabled","Seats","Confirmed Registrations","Waiting-List Registrations","Cancelled Registrations","Anticipated Attendance","Actual Attendance","Confirmed Attendance"
"6678046","Preparing Data for Publication: Citing Data","




Deeper dive into how to cite data. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-14","11:00","11:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","2","0","0","0","","0"
"6677917","Getting Started with Collaboration Tools: Protocols.io","


Get started with this new web-based platform for thorough and transparent documentation of protocols for lab experiments and analyses with complex procedures. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Getting Started with Collaboration Tools Series: Or, Open Research in a Time of Isolation.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-14","13:00","14:00","","","Virtual","","Neggin Keshavarzian","Meghan Testerman","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","2","0","1","0","","0"
"6680169","Getting Started with Collaboration Tools: GitHub","


Get started with the most popular online version control and code publishing tool. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Getting Started with Collaboration Tools Series: Or, Open Research in a Time of Isolation.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-15","11:00","12:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","15","0","1","0","","0"
"6677919","Getting Started with Collaboration Tools: Overleaf","


Get started with this powerful cloud-based tool for collaborative LaTeX editing. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Getting Started with Collaboration Tools Series: Or, Open Research in a Time of Isolation.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-15","13:00","14:00","","","Virtual","","Neggin Keshavarzian","Willow Dressel","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","4","0","1","0","","0"
"6678013","Preparing Data for Publication: Overview","An overview of how to get your data ready to be published, starting with organization to choose the best repository. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-18","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","3","0","2","0","","0"
"6678035","Preparing Data for Publication: Organizing Data: Best Practices","Deeper dive into the best practices for organizing your data to optimize discovery and reuse. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-19","13:00","13:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","4","0","1","0","","0"
"6678043","Preparing Data for Publication: Generalist and Discipline-specific Repositories - What to Look For","


Deeper dive into deciding where to put your data. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-20","11:00","11:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","2","0","1","0","","0"
"6678042","Preparing Data for Publication: Discovery and Reuse","


Deeper dive into data discovery and reuse. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-20","13:00","13:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","1","0","0","0","","0"
"6677920","Getting Started with Collaboration Tools: Code Ocean","


Get started with this new open-access platform for publishing and containerizing research code in the cloud. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Getting Started with Collaboration Tools Series: Or, Open Research in a Time of Isolation.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-21","11:00","12:00","","","Virtual","Firestone Library","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","3","0","0","0","","0"
"6678047","Preparing Data for Publication: Citing Data","




Deeper dive into how to cite data. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series, Preparing Data for Publication.

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-21","13:00","13:30","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","50","2","0","0","0","","0"
"6678049","Getting started with SciENcv + ORCID","


New requirement of NSF-Approved Formats for Biographical Sketch and Current & Pending Support and how to integrate ORCID. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series. 

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-22","11:00","12:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","100","1","0","1","0","","0"
"6677913","Data Spring Cleaning: Data File Inventory","


Join the discussion and exchange tips on how to keep track of your data files more efficiently and save yourself headaches down the road. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Discussion Series, Data Spring Cleaning: Or, How Can We Help Your Data “Spark Joy”?

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-22","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","20","8","0","1","0","","3"
"6678050","Getting started with SciENcv + ORCID","


New requirement of NSF-Approved Formats for Biographical Sketch and Current & Pending Support and how to integrate ORCID. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Lecture Series. 

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-26","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Events, Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","100","3","0","1","0","","0"
"6677914","Data Spring Cleaning: Tidy Data and Documentation","


Join the discussion and exchange tips on how to tidy up your datasets and maintain consistent documentation through all of your projects. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Discussion Series, Data Spring Cleaning: Or, How Can We Help Your Data “Spark Joy”?

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-27","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","20","7","0","2","0","","0"
"6677915","Data Spring Cleaning: Data Shelves, Closets, and Attics","


Join the discussion and exchange tips on how to better organize your active data files and keep your analysis workspace free from clutter. A zoom link will be provided by email.

This event is part of Princeton Research Data Service Discussion Series, Data Spring Cleaning: Or, How Can We Help Your Data “Spark Joy”?

Questions? Contact Neggin Keshavarzian at neggink@princeton.edu.

To request accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-05-29","13:00","14:00","","","Virtual","","Neggin Keshavarzian","","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Working with Data, Workshops > Princeton Research Data Service, Workshops","Published","","","Yes","20","5","0","2","0","","0"
"6775868","Introduction to protocols.io and the Art of Writing Protocols","Research papers and protocol organization in labs often lack detailed instructions for repeating experiments. Protocols.io is an open-access platform for researchers to collaboratively create step-by-step, interactive and dynamic protocols that can be run on mobile or web. Researchers can share protocols with colleagues, collaborators, the scientific community, or make them public, with ease and efficiency. Real-time communication and interaction keeps protocols up-to-date with versioning, forking/copying, Q&A, and troubleshooting. Public protocols receive a DOI and allow open communication with authors and researchers to encourage efficient experimentation and reproducibility. Join this webinar to learn more about protocols.io and the benefits that come with your Princeton premium account.

This workshop will have four parts:


	Introduction to protocols.io: Learn more about protocols.io's mission, how to discover public protocols, create your own protocols, share methods with others, and how to publish protocols.
	protocols.io Premium: We will walk you through how you can set up your premium account and we will start working on getting your own protocols up on protocols.io.
	The Art of Writing Protocols: Receive practical tips on how you can make your methods more reproducible and you will be equipped with a list of best practices for writing protocols.
	Protocol Importing: Please feel free to bring any protocols that you can start working on at the end of the workshop! We will stay online to answer any questions you have while you start to use protocols.io.


This is a virtual workshop presented by Emma Ganley, Director of Strategic Initiatives at protocols.io, and sponsored by the Princeton Research Data Service and the Princeton University Library. The link will be sent out to registrants in a follow-up email.

To request disability-related accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-06-23","11:00","12:30","","","Virtual","","Research Data Service","Emma Ganley, Director of Strategic Initiatives at protocols.io","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Publishing Research/Open Access, Workshops > Princeton Research Data Service","Published","","","Yes","300","29","0","0","50","","0"
"6809162","Preparing Data for Publication","This webinar will go over how to organize, document, and share your data to maximize the discoverability and usability of your data, and broaden the impact of your work.

This event is part of the Princeton Research Data Service Workshop Series. 

To request disability-related accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-07-09","12:00","13:00","","","","","Research Data Service","Neggin Keshavarzian","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Working with Data, Workshops > Princeton Research Data Service","Published","","","Yes","100","19","0","1","30","","0"
"6809080","Data Management Plans: Funder Compliance and Beyond","This webinar will provide a comprehensive introduction to Data Management Plans (DMPs), including general requirements from the National Science Foundation and the National Institutes of Health, as well as special considerations for various research designs and data types. A practical walkthrough of the online application DMPTool--with several examples from different domains--will also help you gain momentum in drafting your own DMPs. The session will conclude with concrete guidance on the best practices of data management planning in the broader context of open research, reproducibility, and data publishing.","2020-07-16","12:00","13:00","","","","","Research Data Service","Matt Chandler","Princeton Student, Princeton Faculty/Researcher","Working with Data, Workshops > Princeton Research Data Service","Published","","","Yes","100","19","0","4","30","","0"
"6809174","Managing Research Data","This webinar will go over tips on how to keep track of your data files more efficiently, better organize your data files, and how to manage your data, code and other research materials, to save yourself headaches down the road.

This event is part of the Princeton Research Data Service Workshop Series. 

To request disability-related accommodations for this event, please contact pulcomm@princeton.edu at least 3 working days in advance. ","2020-07-23","12:00","13:00","","","","","Research Data Service","Neggin Keshavarzian","Princeton Student, Princeton Faculty/Researcher, Princeton Staff","Working with Data, Workshops > Princeton Research Data Service","Published","","","Yes","100","68","0","2","30","","0"
"6809084","Data Wrangling: How to Keep Your Data Workflows Orderly and Efficient","This webinar will provide several practical considerations to help you better manage your research data between the points of collection and analysis. We will review the principles of open research and cover best practices for documentation and metadata generation amidst collation, aggregation, and cleaning tasks. Then we will survey some concrete approaches you can follow to help keep your data workflows orderly and efficient.","2020-07-30","12:00","13:00","","","","","Research Data Service","Matt Chandler","Princeton Student, Princeton Faculty/Researcher","Working with Data, Workshops > Princeton Research Data Service","Published","","","Yes","100","68","0","4","30","","0"
